cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,7,8192,512,ck,13,0,3.7336,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,15.73,1155.07,0.0
256,2,8192,512,ck,13,0,3.7538,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,4.47,1126.35,0.0
256,3,8192,512,ck,13,0,3.7574,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,6.7,1129.77,0.0
256,6,8192,512,ck,13,0,3.7671,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,13.36,1140.31,0.0
256,4,8192,512,ck,13,0,3.7798,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,8.88,1127.54,0.0
256,1,8192,512,ck,8,0,3.8526,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.18,1093.08,0.0
256,16,8192,512,ck,13,0,3.8538,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,34.83,1158.5,0.0
256,8,8192,512,ck,8,0,3.8866,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.27,1113.95,0.0
256,10,8192,512,ck,8,0,3.9051,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.48,1117.32,0.0
256,11,8192,512,ck,8,0,3.9126,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.58,1119.5,0.0
256,15,8192,512,ck,8,0,3.9158,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.13,1135.85,0.0
256,24,8192,512,ck,13,0,3.9606,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,50.83,1161.39,0.0
256,28,8192,512,ck,13,0,3.9822,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,58.98,1172.06,0.0
256,26,8192,512,ck,13,0,3.9938,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,54.61,1160.2,0.0
256,17,8192,512,ck,8,0,4.0994,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,34.79,1093.22,0.0
256,27,8192,512,ck,8,0,4.1179,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,55.0,1129.34,0.0
256,23,8192,512,ck,8,0,4.1298,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.72,1109.72,0.0
256,30,8192,512,ck,8,0,4.1303,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,60.93,1138.22,0.0
256,38,8192,512,ck,13,0,4.1845,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,76.18,1155.78,0.0
256,34,8192,512,ck,13,0,4.1886,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,68.09,1138.51,0.0
256,37,8192,512,ck,13,0,4.1918,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,74.04,1149.73,0.0
256,64,8192,512,ck,13,0,4.2145,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,127.39,1251.79,0.0
256,45,8192,512,ck,13,0,4.2288,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,89.27,1171.64,0.0
256,42,8192,512,ck,13,0,4.237,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,83.15,1157.41,0.0
256,57,8192,512,ck,13,0,4.2966,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,111.29,1200.34,0.0
256,20,8192,512,ck,7,0,4.4006,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,38.12,1029.91,0.0
256,21,8192,512,ck,7,0,4.4128,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,39.92,1030.89,0.0
256,33,8192,512,ck,7,0,4.431,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,62.47,1072.42,0.0
256,41,8192,512,ck,7,0,4.4562,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,77.18,1096.68,0.0
256,39,8192,512,ck,7,0,4.4694,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,73.2,1085.88,0.0
256,58,8192,512,ck,7,0,4.4958,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,108.22,1150.91,0.0
256,61,8192,512,ck,7,0,4.515,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,113.33,1157.24,0.0
256,44,8192,512,ck,8,0,4.517,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.71,1093.14,0.0
256,60,8192,512,ck,8,0,4.5647,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,110.26,1140.94,0.0
256,50,8192,512,ck,8,0,4.5671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,91.84,1103.35,0.0
256,35,8192,512,cktile,3,0,4.6486,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,63.16,1029.49,0.0
